id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
682768,"Clean 5mins to MTR walk up 1f, Rm 3",3383055,Kiki,,Yau Tsim Mong,22.309416587184785,114.1684975953815,Private room,298,1,119,2018-10-06,1.60,9,309
682794,"Clean 5mins to MTR walk up 1f, Rm 4",3383055,Kiki,,Yau Tsim Mong,22.311454543234372,114.16844692075021,Private room,298,1,131,2018-09-24,1.78,9,308
682797,"Clean 5mins to MTR walk up 1f, Rm 5",3383055,Kiki,,Yau Tsim Mong,22.310818044244073,114.17002883545796,Private room,298,1,198,2018-08-25,2.65,9,321
685373,@CausewayBayMTR/TimeSq.★Near HKCEC ,3495738,Carmen,,Wan Chai,22.280199856219532,114.17931394368,Entire home/apt,1159,3,102,2017-12-25,1.37,1,284
698537,Lamma Island - Home away from Home,3580728,Kate,,Islands,22.224983911595448,114.11338179099755,Entire home/apt,987,3,55,2018-10-24,0.74,1,329
711099,Sharing the sofa of a local family. (Female only),3659684,MiMi,,Yuen Long,22.43497267174108,114.00188087830891,Shared room,400,28,0,,,1,365
714585,Group Favour (DH) in Wan Chai,1452499,Sally,,Wan Chai,22.27903956441603,114.1708416767038,Entire home/apt,1864,3,209,2018-11-01,2.88,7,242
720841,Clean coxy 30 sec to Jordan MTR Rm8,3383055,Kiki,,Yau Tsim Mong,22.3059933332471,114.17119850205093,Private room,298,1,29,2016-11-27,0.39,9,338
724382,"Tidy, quiet with windows, near Jordan MTR, room 6",3704487,Daniel,,Yau Tsim Mong,22.307451644078093,114.17137899804005,Private room,368,1,191,2018-10-26,2.57,7,294
724428,"Tidy, quiet with windows, near Jordan MTR, room 7",3704487,Daniel,,Yau Tsim Mong,22.30758873142328,114.17104982252992,Private room,384,1,146,2018-11-04,1.98,7,316
724853,"Tidy, Cozy and Clean Room 9",3704487,Daniel,,Yau Tsim Mong,22.306196153175257,114.17223988989383,Private room,337,1,92,2018-10-28,1.25,7,311
724874,"Tidy, Cozy and Clean Room 8",3704487,Daniel,,Yau Tsim Mong,22.306147114864697,114.17108159156672,Private room,337,1,169,2018-11-02,2.31,7,290
728122,Twin bed room for budget travellers,3784841,Albert,,Yau Tsim Mong,22.31692183238985,114.16989949844994,Private room,321,28,8,2018-01-03,0.11,4,199
728126,Harbor View Room for 2 travellers,3784841,Albert,,Yau Tsim Mong,22.316182731200318,114.16924133211148,Private room,392,28,17,2017-10-08,0.25,4,226
730356,Clean coxy 30 sec to Jordan MTR Rm6,3383055,Kiki,,Yau Tsim Mong,22.30757492492606,114.17138769899525,Private room,501,1,19,2017-12-15,0.26,9,351
730367,Clean coxy 30 sec to Jordan MTR Rm7,3383055,Kiki,,Yau Tsim Mong,22.307608281329077,114.17112324596819,Private room,447,1,23,2018-04-14,0.31,9,351
733192,2 B.R Center Kowloon FAB Location - 1 min to MTR,3820308,Dave,,Yau Tsim Mong,22.322427441905052,114.16974159906033,Entire home/apt,1003,3,76,2018-08-26,1.03,15,325
741955,Double bed room for 2 travellers,3784841,Albert,,Yau Tsim Mong,22.318273456319027,114.16852931681436,Private room,384,2,14,2018-08-22,0.20,4,228
742040,Private room for single traveller,3784841,Albert,,Yau Tsim Mong,22.316424948199142,114.17002621061204,Private room,282,7,36,2018-11-10,0.51,4,234
742349,2 Bed Rooms@Mongkok Langham Place,3776595,Yosi Home,,Yau Tsim Mong,22.319410881244533,114.16733519314525,Entire home/apt,854,4,197,2018-11-05,2.67,8,69
744230,Charming 1 BR appt + roof in Soho,3900338,Marie,,Central & Western,22.28220006668967,114.15180486697346,Entire home/apt,1011,2,7,2016-03-08,0.17,2,0
748065,Hoi Shing Hotel - Triple Rm (3ppl),2953879,Biosze,,Yau Tsim Mong,22.306811738688225,114.17151349621149,Entire home/apt,650,1,8,2018-10-12,0.14,6,359
748127,Hoi Shing House - Family Rm (3 adults & 1 kid),2953879,Biosze,,Yau Tsim Mong,22.305180075290078,114.17119593955167,Entire home/apt,752,1,4,2018-07-23,0.05,6,361
748158,Hoi Shing Hotel - Double Bed Rm,2953879,Biosze,,Yau Tsim Mong,22.30623714170137,114.1713807216622,Entire home/apt,447,1,14,2018-08-12,0.19,6,356
748178,Hoi Shing Hotel - Twins bed Rm(2pp),2953879,Biosze,,Yau Tsim Mong,22.305114639021358,114.17221555153581,Entire home/apt,447,1,12,2018-10-21,0.17,6,352
749904,Convenience !! 2BR High Lv@ Mongkok MTR Argyle St.,3934072,Paul,,Kowloon City,22.320698720986794,114.17329182387573,Entire home/apt,830,1,152,2018-11-03,2.09,3,112
754511,"Best of Causeway Bay, Tai Hang",3970555,Quentin,,Wan Chai,22.27925931675928,114.1920702049465,Entire home/apt,721,4,14,2016-01-05,0.19,1,0
757034,MK MTR 3 Bedrooms with (2 toilets) for 1-7ppl,2232885,Cathy,,Yau Tsim Mong,22.320458729793945,114.17284294015832,Entire home/apt,1081,3,82,2018-11-01,1.12,6,0
758472,"Lady Market, Mongkok MTR 2BR Apt",3934072,Paul,,Yau Tsim Mong,22.31647518643715,114.17240546958583,Entire home/apt,854,4,140,2018-07-21,1.92,3,264
764696,Single bed room with green view ,4031260,Jen Ai,,North,22.502621295920274,114.13418070485521,Private room,298,2,38,2018-06-23,0.52,2,347
767022,Hong Kong - Great views/Location!,1853636,Ella,,Southern,22.23011310685668,114.21856290849904,Entire home/apt,5092,90,5,2017-04-16,0.07,1,43
767707,MK superior house 2 rms fit 6 pp,3800609,Zoe,,Yau Tsim Mong,22.31841049222144,114.16980701008139,Entire home/apt,1097,1,130,2018-10-13,1.84,13,312
775458,Harbour Front + City Center + Cozy ,2007350,Mandy & Henry,,Wan Chai,22.280673305113304,114.17878025295649,Entire home/apt,1347,2,295,2018-11-12,4.05,1,44
775479,Looking forward for your visit !! Female only,4090623,Lau,,Yau Tsim Mong,22.31949694330741,114.16798895908292,Private room,141,3,158,2018-11-07,2.69,3,23
777196,"Budget offer! 2 BR, Jordan MTR",3776595,Yosi Home,,Yau Tsim Mong,22.30773745162692,114.1679781988397,Entire home/apt,1003,4,226,2018-11-01,3.11,8,68
777269,wifiCauseway Bay cozy stu 2mins>MTR,2283777,Jennifer,,Wan Chai,22.27912134782684,114.18397981567728,Entire home/apt,353,1,104,2018-10-16,1.46,15,316
782604,2BRs Serviced Apartment@KennedyTown,4127290,Stephen,,Central & Western,22.2834556394942,114.13046907463958,Entire home/apt,1003,27,26,2018-06-20,0.36,2,252
788003,"Spacious flat by Causeway Bay MTR, SOGO times squa",875555,Sunny,,Wan Chai,22.28145228659481,114.1861431994872,Entire home/apt,783,5,3,2018-10-08,0.24,1,26
792181,exhibition center wan chai HKCEC 2,2541079,Gum Gum,,Wan Chai,22.279586903021993,114.17363840266273,Private room,478,1,85,2016-10-23,1.17,1,360
793175,一個簡單的家......一個寧靜適合休息的家｡,4179437,佩茵,,Sha Tin,22.37020378456981,114.172728258609,Shared room,204,1,0,,,1,0
800155,(WO)2BR 3min Time square CWB MTR apt,1428352,Ivan,,Wan Chai,22.27910093634381,114.18098900821798,Entire home/apt,924,2,244,2018-10-24,3.39,4,13
803701,"STILL SPACE, Spacious beautiful Apt",1321952,Timothy,,Central & Western,22.285589377312185,114.15048265262813,Private room,776,1,52,2018-10-21,0.72,2,168
